"Agency","Subagency","accountID","Title","Obligation"
"Department of the Interior","Bureau of Reclamation",838,"Reclamation Water Settlements Fund",0
"Department of the Interior","Bureau of Reclamation",757,"Policy and Administration",25277859.01
"Department of the Interior","Bureau of Reclamation",780,"Central Valley Project Restoration Fund",10637834.86
"Department of the Interior","Bureau of Reclamation",841,"Colorado River Dam Fund, Boulder Canyon Project",40295290.41
"Department of the Interior","Bureau of Reclamation",815,"San Gabriel Basin Restoration Fund",0
"Department of the Interior","Bureau of Reclamation",825,"San Joaquin River Restoration Fund",430732.59
"Department of the Interior","Bureau of Reclamation",720,"Lower Colorado River Basin Development Fund",133024753.4
"Department of the Interior","Bureau of Reclamation",721,"Upper Colorado River Basin Fund",50245591.49
"Department of the Interior","Bureau of Reclamation",730,"Working Capital Fund",255165484.1
"Department of the Interior","Bureau of Reclamation",643,"Bureau of Reclamation Loans Program Account",0
"Department of the Interior","Bureau of Reclamation",639,"Loan Program, Liquidating Account",0
"Department of the Interior","Bureau of Reclamation",875,"Reclamation Trust Funds",362142.32
"Department of the Interior","Central Utah Project",646,"Central Utah Project Completion Account",3463061.85
"Department of the Interior","Central Utah Project",781,"Utah Reclamation Mitigation and Conservation Account",1175008.45
"Department of the Interior","United States Geological Survey",648,"Surveys, Investigations and Research",705899597.12
"Department of the Interior","United States Geological Survey",753,"Operation and Maintenance of Quarters",9649.7
"Department of the Interior","United States Geological Survey",734,"Working Capital Fund",29130910.09
"Department of the Interior","United States Geological Survey",882,"Contributed Funds, Geological Survey",362376.9
"Department of the Interior","Bureau of Mines",649,"Mines and Minerals",0
"Department of the Interior","United States Fish and Wildlife Service",678,"Resource Management",685397616.17
"Department of the Interior","United States Fish and Wildlife Service",679,"Construction",7606466.65
"Department of the Interior","United States Fish and Wildlife Service",809,"State and Tribal Wildlife Grants",11476140.02
"Department of the Interior","United States Fish and Wildlife Service",683,"Multinational Species Conservation Fund",229973.36
"Department of the Interior","United States Fish and Wildlife Service",817,"Exotic Bird Conservation Fund",0
"Department of the Interior","United States Fish and Wildlife Service",685,"Neotropical Migratory Bird Conservation",780832.91
"Department of the Interior","United States Fish and Wildlife Service",741,"Land Acquisition",28221100.86
"Department of the Interior","United States Fish and Wildlife Service",819,"Landowner Incentive Program",150.11
"Department of the Interior","United States Fish and Wildlife Service",818,"Private Stewardship Grants",0
"Department of the Interior","United States Fish and Wildlife Service",771,"Migratory Bird Conservation Account",28738221.67
"Department of the Interior","United States Fish and Wildlife Service",786,"North American Wetlands Conservation Fund",24829551.26
"Department of the Interior","United States Fish and Wildlife Service",774,"Cooperative Endangered Species Conservation Fund",84800274.99
"Department of the Interior","United States Fish and Wildlife Service",813,"Cooperative Endangered Species Conservation Fund, from Land and Water Conservation Fund",32807800.72
"Department of the Interior","United States Fish and Wildlife Service",760,"National Wildlife Refuge Fund",297563.08
"Department of the Interior","United States Fish and Wildlife Service",684,"National Wildlife Refuge Fund",0
"Department of the Interior","United States Fish and Wildlife Service",793,"Recreation Fee Enhancement Program",2339579.99
"Department of the Interior","United States Fish and Wildlife Service",742,"Federal Aid to Wildlife Restoration",134032809.7
"Department of the Interior","United States Fish and Wildlife Service",837,"Coastal Impact Assistance",6624125.52
"Department of the Interior","United States Fish and Wildlife Service",750,"Operation and Maintenance of Quarters",929883.9
"Department of the Interior","United States Fish and Wildlife Service",761,"Proceeds from Sales",148166.1
"Department of the Interior","United States Fish and Wildlife Service",775,"Lahontan Valley and Pyramid Lake Fish and Wildlife Fund",18340.91
"Department of the Interior","United States Fish and Wildlife Service",806,"Filming and Photography Fee Program",0
"Department of the Interior","United States Fish and Wildlife Service",820,"Community Partnership Enhancement",124316
"Department of the Interior","United States Fish and Wildlife Service",876,"Sport Fish Restoration Account",141334618.2
"Department of the Interior","United States Fish and Wildlife Service",878,"Contributed Funds",1499926.74
"Department of the Interior","National Park Service",653,"Operation of the National Park System",994684398.77
"Department of the Interior","National Park Service",716,"Centennial Challenge",584305.9
"Department of the Interior","National Park Service",656,"National Recreation and Preservation",17407058.11
"Department of the Interior","National Park Service",650,"Urban Park and Recreation Fund",0
"Department of the Interior","National Park Service",654,"Construction",85520976.73
"Department of the Interior","National Park Service",814,"Federal Infrastructure Improvement, from Land and Water Conservation Fund",0
"Department of the Interior","National Park Service",745,"Land Acquisition and State Assistance",80765134.69
"Department of the Interior","National Park Service",824,"Outer Continental Shelf Revenues, LWCF Share from Certain Leases",15666
"Department of the Interior","National Park Service",777,"Transportation Systems Fund",13720263.75
"Department of the Interior","National Park Service",765,"Recreation Enhancement Fee Program",85144859.15
"Department of the Interior","National Park Service",843,"Educational Expenses",0
"Department of the Interior","National Park Service",844,"Payment for Tax Losses on Land Acquired for Grand Teton National Park",0
"Department of the Interior","National Park Service",772,"Historic Preservation Fund",3882621.95
"Department of the Interior","National Park Service",812,"Historic Preservation Fund, from Land and Water Conservation Fund",0
"Department of the Interior","National Park Service",657,"Historic Preservation Fund",0
"Department of the Interior","National Park Service",776,"Park Buildings Lease and Maintenance Fund",1626476
